Nombre;Query1;Nombre_Archivo;Carpeta
jobet;@jcjobet;jobet;Ministros
ribera;@TeodoroRiberaN;ribera;Ministros
Felipe Ward Edwards;@Felipeward;FelipeWard;Ministros
Gloria Hutt Hesse;@GloriaHutt;GloriaHutt;Ministros
Baldo Prokurica Prokurica;@bprokurica;BaldoProkurica;Ministros
Antonio Walker Prieto;@antoniowalkerp;AntonioWalker;Ministros
Cristian Monckeberg Bruner;@cmonckeberg;CristianMonckeberg;Ministros
Emilio Santelices Cuevas;@ESantelicesC;EmilioSantelices;Ministros
Juan Andres Fontaine Talavera;@jafontaine;JuanAndres;Ministros
Hernan Larrain Fernandez;@HernanLarrainF;HernanLarrain;Ministros
Alfredo Moreno Charme;@amorenocharme;AlfredoMoreno;Ministros
Cecilia Perez Jara;@ceciperez1;CeciliaPerez;Ministros
Gonzalo Blumel Mac-Iver;@GBlumel;GonzaloBlumel;Ministros
Felipe Larrain Bascunan;@felipelarrain;FelipeLarrain;Ministros
Alberto Espina Otero;@albertoespina;AlbertoEspina;Ministros
julio isamit;@jisamit;julio isamit;Ministros
maria jose zaldivar;@mjose_zaldivar;mariajose Zaldivar;Ministros
ignacio briones;@ignaciobriones_;ignacio briones;Ministros
Karla Rubilar;@KarlaEnAccion;KarlaRubilar;Ministros
Lucas Palacios;@LucasPalaciosC;lucaspalacios;Ministros
Agricultura;@MinagriCL;MinisterioAgricultura;Ministerios
Bienes Nacionales;@MinisterioBBNN;MinisterioBienesNacionales;Ministerios
Cultura y las Artes;@culturas_cl;MinisterioCultura;Ministerios
Defensa Nacional;@mindefchile;MinisterioDefensa;Ministerios
Deporte;@MindepChile;MinisterioDeporte;Ministerios
Desarrollo Social;@MinDesarrollo;MinisterioDesarrSocial;Ministerios
Economia Fomento y Turismo;@meconomia;MinisterioEconomia;Ministerios
Educacion;@Mineduc;MinisterioEducacion;Ministerios
Energia;@MinEnergia;MinisterioEnergia;Ministerios
Hacienda;@Min_Hacienda;MinisterioHacienda;Ministerios
Interior y Seguridad Publica;@min_interior;MinisterioInterior;Ministerios
Justicia y Derechos Humanos;@MinjuDDHH;MinisterioJusticia;Ministerios
Medio Ambiente;@MMAChile;MMAmbiente;Ministerios
Mineria;@MinMineria_cl;MinisterioMineria;Ministerios
Mujer y la Equidad de Genero;@MinMujeryEG;MinisterioMujer;Ministerios
Obras Publicas;@mop_chile;MinisterioObrasPublicas;Ministerios
Relaciones Exteriores;@Minrel_Chile;MinisterioRelExteriores;Ministerios
Salud;@ministeriosalud;MinisterioSalud;Ministerios
Secretariaa General de Gobierno;@segegob;MinisterioSecGralGobierno;Ministerios
Secretaria General de la Presidencia;@Segpres;MinisterioSecGralPResidencia;Ministerios
Trabajo y Prevision Social;@MintrabChile;MinisterioTrabajo;Ministerios
Transportes y Telecomunicaciones;@MTTChile;MinisterioTransportes;Ministerios
Vivienda y Urbanismo;@Minvu;MinisterioVivienda;Ministerios
GobiernoMX;@GobiernoMX;GobiernoMX;Mexico
A_Encinas_R;@A_Encinas_R;A_Encinas_R;Mexico
aguilarcamin ;@aguilarcamin ;aguilarcamin ;Mexico
Ale_BarralesM ;@Ale_BarralesM ;Ale_BarralesM ;Mexico
aristeguicnn;@aristeguicnn;aristeguicnn;Mexico
aurelionuno ;@aurelionuno ;aurelionuno ;Mexico
BPR2012;@BPR2012;BPR2012;Mexico
CarlosGortari_ ;@CarlosGortari_ ;CarlosGortari_ ;Mexico
CiroGomezL ;@CiroGomezL ;CiroGomezL ;Mexico
CocoaCalderon;@CocoaCalderon;CocoaCalderon;Mexico
CTMedoMex;@CTMedoMex;CTMedoMex;Mexico
DanteDelgado;@DanteDelgado;DanteDelgado;Mexico
DavidMonrealA;@DavidMonrealA;DavidMonrealA;Mexico
delfinagomeza;@delfinagomeza;delfinagomeza;Mexico
DeniseMaerker ;@DeniseMaerker ;DeniseMaerker ;Mexico
DivaGastelum;@DivaGastelum;DivaGastelum;Mexico
Dolores_PL;@Dolores_PL;Dolores_PL;Mexico
ElbaEsterOnLine ;@ElbaEsterOnLine ;ElbaEsterOnLine ;Mexico
Emilio_Gamboa_;@Emilio_Gamboa_;Emilio_Gamboa_;Mexico
EmilioAlvarezI;@EmilioAlvarezI;EmilioAlvarezI;Mexico
EnriqueBurgosG;@EnriqueBurgosG;EnriqueBurgosG;Mexico
EnriqueKrauze ;@EnriqueKrauze ;EnriqueKrauze ;Mexico
EnriqueOchoaR ;@EnriqueOchoaR ;EnriqueOchoaR ;Mexico
epn;@epn;epn;Mexico
ErnestoCordero;@ErnestoCordero;ErnestoCordero;Mexico
eruviel_avila;@eruviel_avila;eruviel_avila;Mexico
FelipeCalderon ;@FelipeCalderon ;FelipeCalderon ;Mexico
GabyCuevas;@GabyCuevas;GabyCuevas;Mexico
GustavoMadero;@GustavoMadero;GustavoMadero;Mexico
HectorYunes;@HectorYunes;HectorYunes;Mexico
IfigeniaMtz;@IfigeniaMtz;IfigeniaMtz;Mexico
JaimeRdzNl ;@JaimeRdzNl ;JaimeRdzNl ;Mexico
Javier_Corral;@Javier_Corral;Javier_Corral;Mexico
JCRomeroHicks;@JCRomeroHicks;JCRomeroHicks;Mexico
JohnMAckerman ;@JohnMAckerman ;JohnMAckerman ;Mexico
JoseAMeadeK;@JoseAMeadeK;JoseAMeadeK;Mexico
JosefinaVM;@JosefinaVM;JosefinaVM;Mexico
JuanZepeda_;@JuanZepeda_;JuanZepeda_;Mexico
LariosHector;@LariosHector;LariosHector;Mexico
LaydaSansores;@LaydaSansores;LaydaSansores;Mexico
lorenzocordovav;@lorenzocordovav;lorenzocordovav;Mexico
Lvidegaray ;@Lvidegaray ;Lvidegaray ;Mexico
M_OlgaSCordero;@M_OlgaSCordero;M_OlgaSCordero;Mexico
ManceraMiguelMX;@ManceraMiguelMX;ManceraMiguelMX;Mexico
ManceraMiguelMX ;@ManceraMiguelMX ;ManceraMiguelMX ;Mexico
ManuelBartlett;@ManuelBartlett;ManuelBartlett;Mexico
Marce_Torres7;@Marce_Torres7;Marce_Torres7;Mexico
marianagc;@marianagc;marianagc;Mexico
martibatres;@martibatres;martibatres;Mexico
MxLaPazMx ;@MxLaPazMx ;MxLaPazMx ;Mexico
Mzavalagc ;@Mzavalagc ;Mzavalagc ;Mexico
NapoleonGomezUr;@NapoleonGomezUr;NapoleonGomezUr;Mexico
osoriochong;@osoriochong;osoriochong;Mexico
pkumamoto;@pkumamoto;pkumamoto;Mexico
RafaMorenoValle;@RafaMorenoValle;RafaMorenoValle;Mexico
RicardoAnayaC ;@RicardoAnayaC ;RicardoAnayaC ;Mexico
RicardoMonrealA;@RicardoMonrealA;RicardoMonrealA;Mexico
RiosPiterJaguar;@RiosPiterJaguar;RiosPiterJaguar;Mexico
RiosPiterJaguar ;@RiosPiterJaguar ;RiosPiterJaguar ;Mexico
rocionahle;@rocionahle;rocionahle;Mexico
RoyCampos ;@RoyCampos ;RoyCampos ;Mexico
RuffoAppel;@RuffoAppel;RuffoAppel;Mexico
ruizmassieu;@ruizmassieu;ruizmassieu;Mexico
SergioSarmiento ;@SergioSarmiento ;SergioSarmiento ;Mexico
sylbeltrones;@sylbeltrones;sylbeltrones;Mexico
VicenteFoxQue ;@VicenteFoxQue ;VicenteFoxQue ;Mexico
VRubioMarquez;@VRubioMarquez;VRubioMarquez;Mexico
XochitlGalvez;@XochitlGalvez;XochitlGalvez;Mexico
Yeidckol;@Yeidckol;Yeidckol;Mexico
Loreto Letelier;@MLoretoLetelier;LoretoLetelier;Intendentes
Miguel Angel Quezada;@MAngelQuezada;MiguelAngelQuezada;Intendentes
Lucia Pinto;@lupipinto;LuciaPinto;Intendentes
Jorge Martinez;@jmartinezvalpo;JorgeMartinez;Intendentes
Juan Manuel Masferrer;@juanmasferrer;JuaiaMasferrer;Intendentes
Pablo Milad;@pablo_milad;PabloMilad;Intendentes
Martin Arrau;@martinarrau;MariaArrau;Intendentes
Jorge Atton;@jatton;jorgeatton;Intendentes
Cesar Asenjo;@casenjojerez;CesiaAsenjo;Intendentes
Harry Jurgensen;@HarryJurgensen;HarryJurgensen;Intendentes
Geoconda Navarrte;@geoconda_aysen;GeocondaNavarrte;Intendentes
Maria Teresa Castanon;@mtcastanon;MatriaTeresaCastanon;Intendentes
sergio giacaman;@sgiacamang;giacaman;Intendentes
patricio urquieta;@urquietaatacama;patriciourquieta;Intendentes
Arica y Parinacota;@IntendenciaXV;aricayparinacota;Intendencias
Tarapaca;@Gore_Tarapaca;tarapaca;Intendencias
Antofagasta;@GOREAntofagasta;antofagasta;Intendencias
Atacama;@Int_atacama;atacama;Intendencias
Coquimbo;@gorecoquimbo;coquimbo;Intendencias
Valparaiso;@IntendenciaV;valparaiso;Intendencias
Libertador Bernardo Ohiggins;@IntendenciaLBO;oHiggins;Intendencias
Maule;@IntendenciaVII;maule;Intendencias
Nuble;@Int_nuble;Nuble;Intendencias
Biobio;@gorebiobio;biobio;Intendencias
La Araucania;@iaraucania;laaraucania;Intendencias
Los Rios;@IntLosRios;losrios;Intendencias
Los Lagos;@int_loslagos;loslagos;Intendencias
aysen;@intendenciaysen;aysen;Intendencias
Magallanes y de la Antartica Chilena;@IntendenciaM;magallanes;Intendencias
Metropolitana;@IntendenciaRM;metropolitana;Intendencias
Aduanas;@AduanaCL;AduanasChile;Instituciones
Camara de Diputados de Chile;@CamaraDiputados;DiputadosChile;Instituciones
Chile Atiende;@ChileAtiende;ChileAtiende;Instituciones
Conaf;@conaf_minagri;Conaf;Instituciones
Contraloria;@Contraloriacl;Contraloria;Instituciones
Corfo;@Corfo;Corfo;Instituciones
Correos Chile;@correoschile;CorreosChile;Instituciones
Fiscalia Nacional de Chile;@FiscaliadeChile;FiscaliaDeChile;Instituciones
Fonasa;@FONASA;Fonasa;Instituciones
Gobierno de Chile;@GobiernodeChile;GobiernoChile;Instituciones
INE;@INE_Chile;INE;Instituciones
INJUV;@InjuvChile;Injuv;Instituciones
IPS;@IPSChile;IPSChile;Instituciones
Poder Judicial de Chile;@PJudicialChile;JudicialChile;Instituciones
Prensa Presidencia de Chile;@presidencia_cl;Presidencial;Instituciones
Registro Civil;@RegCivil_Chile;RegistroCivil;Instituciones
SAG;@sagchile;SAG;Instituciones
Senado de la Republica de Chile;@Senado_Chile;SenadoChile;Instituciones
Sercotec;@Sercotec_Chile;Sercotec;Instituciones
SERNAC;@SERNAC;Sernac;Instituciones
Sernapesca;@sernapesca;Sernapesca;Instituciones
Sernatur;@Sernatur;Sernatur;Instituciones
esval;@esval_chile;esval;Instituciones
aguasandinas;@aguas_andinas;aguasandinas;Instituciones
enel;@enel_chile;enel;Instituciones
enelclientes;@enelClientesCL;enelclientes;Instituciones
SERVEL;@ServelChile;Servel;Instituciones
SII;@SII_Chile;ImpuestosInternos;Instituciones
Corporacion Humanas;@corphumanas;corporacionhumanas;Instituciones
Movilh;@Movilh;movilh;Instituciones
Teleton;@Teleton;teleton;Instituciones
Teatro a Mil;@fundteatroamil;teatroamil;Instituciones
Greenpace;@GreenpeaceCL;greenpeace;Instituciones
cop25;@COP25CL;cop25;Instituciones
BOMBEROS;@bomberosdechile;bomberos;Instituciones
inddhh;@inddhh;inddhh;Instituciones
joseluisbeato;@joseluisbeato;joseluisbeato;ESPECIAL
claudiashein;@claudiashein;claudiashein;ESPECIAL
GobCDMX;@GobCDMX;gobcdmx;ESPECIAL
Alejandra Sepulveda ;@AlejandraSepl17;alejandrasepulveda;DIPUTADOS
Alejandro Bernales;@abernales;alejandrobernales;DIPUTADOS
Alejandro Santana Tirachini;@diputadosantana;alejandrosantana;DIPUTADOS
Alvaro Carter ;@Alvaro_CarterF;alvarocarter;DIPUTADOS
Amaro Labra Sepulveda;@amarolabra;amarolabra;DIPUTADOS
Andrea Parra Sauterel;@andreaparras;andreaparra;DIPUTADOS
Andres Celis Montt;@ANDRESCELISM;andrescelis;DIPUTADOS
Andres Molina Magofke;@andresmolinam;andresmolina;DIPUTADOS
Andress Longton Herrera;@andreslongton;longton;DIPUTADOS
Aracely Leuquen Uribe;@aracelyleuquen;aracelyleuquen;DIPUTADOS
Bernardo Berger Fett;@bernardo_berger;berger;DIPUTADOS
Boris Barrera Moreno;@boris_barrera;borisbarrera;DIPUTADOS
Camila Flores Oporto;@Cami_FloresO;camilaflores;DIPUTADOS
Camila Rojas;@Camila_RojasV;camilarojas;DIPUTADOS
Camila Vallejo Dowling;@camila_vallejo;camilavallejo;DIPUTADOS
Carlos Jarpa Wevar;@Oficinajarpa;carlosjarpa;DIPUTADOS
Carlos Kuschel Silva;@kuscheldiputado;carloskuschel;DIPUTADOS
Carmen Hertz;@carmen_hertz;carmenhertz;DIPUTADOS
Carolina Marzan Pinto;@carolamarzan;carolinamarzan;DIPUTADOS
Catalina del Real Mihovilovic;@CataDelRealCL;catalinadelreal;DIPUTADOS
Catalina Perez Salinas;@CatalinaPerezS;catalinaperez;DIPUTADOS
Celso Morales Munoz;@Celsomorales;celsomorales;DIPUTADOS
Claudia Mix Jimenez;@Claudia_Mix;claudiamix;DIPUTADOS
Cosme Mellado Pino;@cosme_mellado;cosmemellado;DIPUTADOS
Cristhian Moreira Barros;@MoreiraDiputado;cristhianmoreira;DIPUTADOS
Cristina Girardi Lavin;@Girardi_Cris;cristinagirardi;DIPUTADOS
Cristobal Urruticoechea Rios;@DipCristobal;cristobalurrutioechea;DIPUTADOS
Daniel Nunez Arancibia;@daniel_nunez_a;danielnunez;DIPUTADOS
Daniel Verdessi Belemmi;@danielverdessi;danielverdessi;DIPUTADOS
Daniella Cicardini Milla;@Dani_Cicardini;cicardini;DIPUTADOS
Diego Ibanez Cotroneo;@diego_ibanezc;diegoibanez;DIPUTADOS
Diego Paulsen Kehr;@diegopaulsen;diegopaulsen;DIPUTADOS
Diego Schalper Sepulveda;@Diego_Schalper;diegoschalper;DIPUTADOS
Eduardo Duran;@EdoDuran;eduardoduran;DIPUTADOS
Emilia Nuyado Ancapichun;@DEmiliaNuyado;emilianuyado;DIPUTADOS
Enrique Van Rysselberghe Herrera;@vanrysselberghe;enriquevanrysselberghe;DIPUTADOS
Erika Olivera de la Fuente;@erikaoliverad;erikaolivera;DIPUTADOS
Esteban Velasquez ;@CalamaVelasquez;estebanvelasquez;DIPUTADOS
Felix Gonzalez Gatica;@FELIX_GonzalezG;felixgonzalez;DIPUTADOS
Fernando Meza Moncada;@Diputadofmeza;fernandomeza;DIPUTADOS
Fidel Espinoza Sandoval;@fideldiputado;fidelespinoza;DIPUTADOS
Florcita Alarco Rojas;@florcitamotuda;flormotuda;DIPUTADOS
Francesca Munoz Gonzalez;@FrancescaD20Dip;francescamunoz;DIPUTADOS
Francisco Eguiguren;@feguigurenc;eguiguren;DIPUTADOS
Francisco Undurraga Gazitua;@Panchoundurraga;undurraga;DIPUTADOS
Frank Sauerbaum Munoz;@frank_sauerbaum;franksauebaum;DIPUTADOS
Gabriel Ascencio Mansilla;@G_Ascencio;gabrielascencio;DIPUTADOS
Gabriel Boric Font;@gabrielboric;boric;DIPUTADOS
Gabriel Silber Romo;@gabrielsilber;silber;DIPUTADOS
Gael Yeomans Araya;@GaelDiputada;gaelyeomans;DIPUTADOS
Gaston Saavedra chandia;@gastonsaavedra;gastonsaavedra;DIPUTADOS
Giorgio Jackson Drago;@GiorgioJackson;giorgiojackson;DIPUTADOS
Gonzalo Fuenzalida Figueroa;@fuenzalidaRn;gonzalofuenzalida;DIPUTADOS
Gonzalo Winter Etcheberry;@gonzalowinter;winter;DIPUTADOS
Guillermo Ramirez Diez;@GmoRamirez;guillermoramirez;DIPUTADOS
Guillermo Teillier del Valle;@gteillier;guillermoteillier;DIPUTADOS
Gustavo Sanhueza Duenas;@gustavosanhuez;gustavosanhueza;DIPUTADOS
Harry Jurgensen Rundshagen;@hjurgensen;harryjurgensen;DIPUTADOS
Hugo Gutierrez ;@Hugo_Gutierrez_;hugogutierrez;DIPUTADOS
Hugo Rey Martinez;@HugoReyM;hugorey;DIPUTADOS
Issa Kort Garriga;@issakortg;issakort;DIPUTADOS
Ivan Flores Garcia;@ifloresdiputado;ivanflores;DIPUTADOS
Jaime Bellolio Avaria;@jbellolio;jaimebellolio;DIPUTADOS
Jaime Mulet Martinez;@Muletjaime;mulet;DIPUTADOS
Jaime Naranjo Ortiz;@diputadonaranjo;jaimenaranjo;DIPUTADOS
Jaime Toha Gonzalez;@TohaGonzalez;jaimetoha;DIPUTADOS
Javier Hernandez Hernandez;@JavierHDiputado;javierhernandez;DIPUTADOS
Javier Macaya ;@javiermacaya;macaya;DIPUTADOS
Jenny Alvarez Vera;@jennyalvarezv;jennyalvarez;DIPUTADOS
Joanna Perez;@joaperezolea;joannaperez;DIPUTADOS
Joaquin Lavin Lavin;@jlavin2014;lavin;DIPUTADOS
Jorge Alessandri Vergara;@jalessandri;jorgealessandri;DIPUTADOS
Jorge Brito Hasbun;@jorbritoh;jorgebrito;DIPUTADOS
Jorge Duran Espinoza;@DuranDiputado;duran;DIPUTADOS
Jorge Rathgeb Schifferli;@JorgeRathgeb;jorgerathgeb;DIPUTADOS
Jose Miguel Ortiz;@OrtizDiputado;josemiguelortiz;DIPUTADOS
Jose Perez Arriagada;@Dip_JosePerez;joseperez;DIPUTADOS
JoseMiguel Castro Bascunan;@dip_jmcastro;josecastro;DIPUTADOS
Juan Antonio Coloma Alamos;@Tono_Coloma;diputadocoloma;DIPUTADOS
Juan Luis Castro Gonzalez;@DoctorJLCastro;juanluiscastro;DIPUTADOS
Juan Santana Castillo;@juan_santanaC;juansantana;DIPUTADOS
Karim Bianchi Retamales;@karimbianchi;karimbianchi;DIPUTADOS
Karin Luck Urban;@karinluck;karinluck;DIPUTADOS
Karol Cariola Oliva;@Karolcariola;karolcariola;DIPUTADOS
Leonardo Soto Ferrada;@LeoSotoChile;leonardosoto;DIPUTADOS
Leonidas Romero Saez;@leoromerosaez;leonidasromero;DIPUTADOS
Leopoldo Perez Lahsen;@perezlahsen;leopoldoperez;DIPUTADOS
Loreto Carvajal Ambiado;@loretodiputada;loretocarvajal;DIPUTADOS
Luciano Cruz-Coke;@lcruzcoke;cruzcoke;DIPUTADOS
Luis Pardo Sainz;@LuisPardoS;luispardo;DIPUTADOS
Luis Rocafull Lopez;@diputadorocaful;Luisrocafull;DIPUTADOS
Maite Orsini Pascal;@MaiteOrsini;orsini;DIPUTADOS
Manuel Monsalve Benavides;@DiputadoMonsalv;manuelmonsalve;DIPUTADOS
Marcela Hernando Perez;@MarcelaHernando;marcelahernando;DIPUTADOS
Marcela Sabat Fernandez;@MarceSabat;sabat;DIPUTADOS
Marcelo Diaz Diaz;@marcelodiazd;marcelodiaz;DIPUTADOS
Marcelo Schilling Rodriguez;@dip_schilling;marceloschilling;DIPUTADOS
Maria Jose Hoffmann Opazo;@PepaHoffmann;hoffmann;DIPUTADOS
Maricela Santibanez novoa;@mariseka;marisela;DIPUTADOS
Mario Desbordes;@desbordes;mariodesbordes;DIPUTADOS
Mario Venegas ;@DiputadoVenegas;mariovenegas;DIPUTADOS
Matias Walker Prieto;@matiaswalkerp;matiaswalker;DIPUTADOS
Maya Fernandez Allende;@Mayafernandeza;mayafernandez;DIPUTADOS
Miguel Angel Calisto Aguila;@MiguelCalisto;miguelcalisto;DIPUTADOS
Miguel Crispi Serrano;@MiguelCrispiS;crispi;DIPUTADOS
Miguel Mellado Suazo;@melladosuazo;miguelmellado;DIPUTADOS
Natalia Castillo Munoz;@NCastilo;nataliacastillo;DIPUTADOS
Nicolas Noman Garrido;@nicolasnoman;nicolasnoman;DIPUTADOS
Nino Baltolu Rasera;@NinoBaltolu;ninobaltolu;DIPUTADOS
Osvaldo Urrutia Soto;@urrutiaosvaldo;osvaldourrutia;DIPUTADOS
Pablo Kast Sommerhoff;@labkast;pablokast;DIPUTADOS
Pablo Lorenzini Basso;@pabloIorenzini;pablolorenzini;DIPUTADOS
Pablo Prieto Lorca;@pabloprietol;pabloprieto;DIPUTADOS
Pablo Vidal Rojas;@pablovidalrojas;pablovidal;DIPUTADOS
Pamela Jiles Moreno;@PamJiles;jiles;DIPUTADOS
Patricio Melero Abaroa;@patriciomelero;melero;DIPUTADOS
Paulina Nunez Urrutia;@paulinanu;paulinanunez;DIPUTADOS
Pedro Pablo Alvarez-Salamanca Ramirez;@alvarezsalamanc;pedroalvarez;DIPUTADOS
Pedro Velasquez Seguel;@pvelasquezsegue;pedrovelasquez;DIPUTADOS
Pepe Auth Stewart;@pepe_auth;pepeauth;DIPUTADOS
Ramon Barros Montero;@memobarros;ramonbarros;DIPUTADOS
Ramon Galleguillos Castillo;@ramongallec;ramongalleguillos;DIPUTADOS
Raul Leiva;@RaulLeiva;raulleiva;DIPUTADOS
Raul Saldivar;@raulsaldivarps;raulsaldivar;DIPUTADOS
Raul Soto Mardones;@Raul_Soto1;raulsoto;DIPUTADOS
Renato Gararin Gonzalez;@GarinDiputado;renatgarin;DIPUTADOS
Rene Alinco Bustos;@alinco_rene;renealincon;DIPUTADOS
Rene Manuel Garcia Garcia;@GarciaDiputado;renegarcia;DIPUTADOS
Rene Saffirio Espinoza;@renesaffirio;renesaffirio;DIPUTADOS
Renzo Trisotti Martinez;@RenzoTrisotti;renzotrisotti;DIPUTADOS
Ricardo Celis Araya;@ricardocelis;ricardocelis;DIPUTADOS
Rodrigo Gonzalez Torres;@rodrigodiputado;rodrigogonzalez;DIPUTADOS
Rolando Renteria Moller;@RRenteriaM;rolandorenteria;DIPUTADOS
Sandra Amar Mancilla;@sandraamarM;sandraamar;DIPUTADOS
Sebastian Keitel;@sekeitel;keitel;DIPUTADOS
Sebastian Torrealba Alvarado;@storrealbaa;sebastiantorrealba;DIPUTADOS
Sergio Bobadilla Munoz;@sbobadilla_dip;sergiobobadilla;DIPUTADOS
Sergio Gahona Salazar;@sergiogahona;gahona;DIPUTADOS
Tomas Hirsch Goldschmidt;@tomashirsch;hirsch;DIPUTADOS
Victor Torres Jeldes;@DocVictorTorres;victortorres;DIPUTADOS
Virginia Troncoso Hellman;@vtroncosoh;virginiatroncoso;DIPUTADOS
Vlado Mirosevic Verdugo;@vladomirosevic;VladoMirosevic;DIPUTADOS
Ximena Ossandon Irarrazabal;@nonaossandon;ximenaossandon;DIPUTADOS
Patricio Rosas Barrientos;@patriciorosas;particiorosas;DIPUTADOS
Marcos Ilabaca Cerda;@marcos_ilabaca;marcosilabaca;DIPUTADOS
Juan Fuenzalida Cobo;@jmfuenzalida ;juanfuenzalida;DIPUTADOS
Alicia Lira;@AliciaLiraM;Alicia Lira;DDHH
Mbachelet;@mbachelet;Mbachelet;DDHH
Carmen Hertz;@carmen_hertz;Carmen Hertz;DDHH
Diego Schalper;@Diego_Schalper;Diego Schalper;DDHH
Josevivanco;@JMVivancoHRW;Josevivanco;DDHH
Juan Enrique Pi;@juanenriquepi;Juan Enrique Pi;DDHH
Khristian Briones;@Khristianbrio;Khristian Briones;DDHH
Lorena Fries;@jlorenafries;Lorena Fries;DDHH
Lorena Pizarro;@LorenaPizarroS;Lorena Pizarro;DDHH
Lorena Recabarren;@LoreRecabarrenS;Lorena Recabarren;DDHH
Miguel Crispi;@MiguelCrispiS;Miguel Crispi;DDHH
Oscar Rementeria;@Rementeria;Oscar Rementeria;DDHH
Paulo Abrao;@PauloAbrao;Paulo Abrao;DDHH
Raul Meza;@abogadomeza;Raul Meza;DDHH
Rolando Jimenez;@rjimenez_perez;Rolando Jimenez;DDHH
Valeria Riveros;@valeanri;Valeria Riveros;DDHH
A_delPacifico;@A_delPacifico;A_delPacifico;Alianza
AGCICHILE;@AGCICHILE;AGCICHILE;Alianza
AMEXCID;@AMEXCID;AMEXCID;Alianza
apciagencia;@apciagencia;apciagencia;Alianza
APCColombia;@APCColombia;APCColombia;Alianza
ProChile;@ProChile;ProChile;Alianza
PROCOLOMBIACO;@PROCOLOMBIACO;PROCOLOMBIACO;Alianza
Promperu;@Promperu;Promperu;Alianza
CarlosGomez;@ Alcalde_Cgomez;CarlosGomez;Alcaldes TODOS
MiguelAAguilera;@AguileraSanhuez;MiguelAAguilera;Alcaldes TODOS
Nivaldo Pinaleo;@Alcalde_abb;Nivaldo Pinaleo;Alcaldes TODOS
Nibaldo Alegria;@Alcalde_Alegria;Nibaldo Alegria;Alcaldes TODOS
JoseLuisYanez;@alcalde_yanez;JoseLuisYanez;Alcaldes TODOS
JoseMiguel Arellano ;@AlcaldeArellano;JoseMiguel Arellano ;Alcaldes TODOS
Miguel Becker ;@AlcaldeBecker;Miguel Becker ;Alcaldes TODOS
Luis Antonio Berwart ;@alcaldeberwart;Luis Antonio Berwart ;Alcaldes TODOS
Boris acuna;@alcaldeboris;Boris acuna;Alcaldes TODOS
Ruben cardenas;@AlcaldeCalbuco;Ruben cardenas;Alcaldes TODOS
Claudio Almuna;@AlcaldeCAlmuna;Claudio Almuna;Alcaldes TODOS
Patricio  Ulloa ;@alcaldecochrane;Patricio  Ulloa ;Alcaldes TODOS
Ruben Jorquera ;@AlcaldeColtauco;Ruben Jorquera ;Alcaldes TODOS
Carlos Valenzuela ;@alcaldeconti;Carlos Valenzuela ;Alcaldes TODOS
Diego Vergara ;@alcaldedepaine;Diego Vergara ;Alcaldes TODOS
Vladimir Fica;@alcaldefica;Vladimir Fica;Alcaldes TODOS
Manuel Painiqueo;@alcaldelumaco;Manuel Painiqueo;Alcaldes TODOS
Juan Carlos munoz;@AlcaldeMunoz;Juan Carlos munoz;Alcaldes TODOS
luis pezoa;@alcaldepezoa;luis pezoa;Alcaldes TODOS
Manuel Pino Turra;@alcaldepino;Manuel Pino Turra;Alcaldes TODOS
Juan Eduardo Delgado ;@AlcaldePlc;Juan Eduardo Delgado ;Alcaldes TODOS
Clara Lazcano ;@AlcaldesaLazca1;Clara Lazcano ;Alcaldes TODOS
Eduardo Soto ;@Alcaldesoto;Eduardo Soto ;Alcaldes TODOS
William arevalo;@alcaldestacruz;William arevalo;Alcaldes TODOS
Claudio Zurita Ibarra;@AlcaldeZurita;Claudio Zurita Ibarra;Alcaldes TODOS
Felipe Alessandri ;@AlessandriFelip;Felipe Alessandri ;Alcaldes TODOS
Americo Guajardo;@americogustavog;Americo Guajardo;Alcaldes TODOS
Angel Castro Medina;@AngelCastroSJ;Angel Castro Medina;Alcaldes TODOS
Antonio Rivas Villalobos;@AntonioRivas__;Antonio Rivas Villalobos;Alcaldes TODOS
Carlos Araya;@Araya7Carlos;Carlos Araya;Alcaldes TODOS
Martin Arriagada Urrutia;@Arriagadalcalde;Martin Arriagada Urrutia;Alcaldes TODOS
Arturo Aguirre ;@arturo_aguirreg;Arturo Aguirre ;Alcaldes TODOS
Bernardo Leyton Lemus;@Bernardo_Leyton;Bernardo Leyton Lemus;Alcaldes TODOS
Bernardo Alejandro lopez;@BernardoLopezS;Bernardo Alejandro lopez;Alcaldes TODOS
Bernardo Vasquez Bobadilla;@Bernardovasquez;Bernardo Vasquez Bobadilla;Alcaldes TODOS
Brunilda Gonzalez;@BrunildaCaldera;Brunilda Gonzalez;Alcaldes TODOS
Camilo Ossandon;@camilo_ossandon;Camilo Ossandon;Alcaldes TODOS
Carlos Adasme Godoy;@carlosadasme;Carlos Adasme Godoy;Alcaldes TODOS
Carlos alvarez ;@CarlosAlvarezE_;Carlos alvarez ;Alcaldes TODOS
Carlos Schwalm ;@CarlosSchwalm;Carlos Schwalm ;Alcaldes TODOS
Carlos Soto ;@CarlosSotoRengo;Carlos Soto ;Alcaldes TODOS
Carlos Utman;@carlosutman;Carlos Utman;Alcaldes TODOS
Carmen Blanco Hadi;@carmen_blanco_h;Carmen Blanco Hadi;Alcaldes TODOS
Carmen fernandez ;@carmengloria_f;Carmen fernandez ;Alcaldes TODOS
Carolina Leitao;@CarolinaLeitao;Carolina Leitao;Alcaldes TODOS
